from_id;to_id;walk_t;walk_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d
5943933;5859425;203;14180;100;92;27378;103;94;23153;38;23532;33;23532
5943934;5859425;203;14213;101;89;26793;102;82;22533;37;21341;33;21341
5943935;5859425;204;14261;101;91;26960;106;95;21720;37;21050;33;21050
5943936;5859425;201;14076;101;90;26298;106;95;21731;37;20825;33;20825
5943937;5859425;199;13931;96;87;26022;100;81;21761;36;20514;31;20514
5943938;5859425;194;13585;101;88;20611;107;96;21820;32;19917;28;19917
5943939;5859425;194;13564;102;89;22431;105;95;20281;32;19680;28;19680
5943940;5859425;192;13458;94;89;19148;101;89;25418;32;19903;28;19903
5943941;5859425;192;13430;93;91;19638;94;80;21112;32;19661;28;19661
5943942;5859425;192;13442;90;83;28976;91;77;20878;32;19785;28;19785
5943943;5859425;188;13166;89;79;28700;91;76;20806;31;19170;28;19170
5943944;5859425;191;13382;90;86;19264;91;75;20739;35;19904;31;19904
5943945;5859425;196;13710;93;91;19586;94;80;21061;32;19691;28;19691
5943946;5859425;193;13534;93;86;23828;97;82;20408;32;19935;28;19935
5943947;5859425;197;13784;94;86;23574;100;82;20746;34;20979;30;20979
5943948;5859425;198;13878;95;84;24222;102;83;20840;36;20853;32;20853
5943949;5859425;195;13617;101;95;19995;106;94;18246;35;20841;31;20841
5943950;5859425;192;13406;98;91;19623;102;93;20014;44;18830;40;18830
5943951;5859425;192;13473;96;84;18364;101;92;21811;43;18806;38;18778
5943952;5859425;197;13788;94;87;18528;94;80;16776;39;18522;34;18493
5943953;5859425;200;13995;91;81;18959;94;80;17265;37;18178;32;18149
5943954;5859425;196;13725;86;78;16552;88;72;16593;38;17957;33;17928
5943955;5859425;198;13876;84;74;16555;87;72;16549;35;17623;31;17594
5943956;5859425;198;13828;81;69;16249;87;69;16008;34;17294;30;17294
5943957;5859425;196;13719;75;65;15970;83;70;17035;35;17070;30;17070
5943958;5859425;195;13663;72;64;15881;77;69;16946;35;17068;31;17068
5943959;5859425;195;13672;72;64;16939;74;66;16945;31;16408;27;16408
